x,y,t,predicted_value
0.0,1.0,0.0,1.0
1.0,1.0,0.0,1.0
1.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.05,0.0,0.0,1.0
0.1,0.0,0.0,1.0
0.15,0.0,0.0,1.0
0.2,0.0,0.0,1.0
0.25,0.0,0.0,1.0
0.3,0.0,0.0,1.0
0.35,0.0,0.0,1.0
0.4,0.0,0.0,1.0
0.45,0.0,0.0,1.0
0.5,0.0,0.0,1.0
0.55,0.0,0.0,1.0
0.6,0.0,0.0,1.0
0.65,0.0,0.0,1.0
0.7,0.0,0.0,1.0
0.75,0.0,0.0,1.0
0.8,0.0,0.0,1.0
0.85,0.0,0.0,1.0
0.9,0.0,0.0,1.0
0.95,0.0,0.0,1.0
0.0,0.95,0.0,1.0
0.0,0.9,0.0,1.0
0.0,0.85,0.0,1.0
0.0,0.8,0.0,1.0
0.0,0.75,0.0,1.0
0.0,0.7,0.0,1.0
0.0,0.65,0.0,1.0
0.0,0.6,0.0,1.0
0.0,0.55,0.0,1.0
0.0,0.5,0.0,1.0
0.0,0.45,0.0,1.0
0.0,0.4,0.0,1.0
0.0,0.35,0.0,1.0
0.0,0.3,0.0,1.0
0.0,0.25,0.0,1.0
0.0,0.2,0.0,1.0
0.0,0.15,0.0,1.0
0.0,0.1,0.0,1.0
0.0,0.05,0.0,1.0
0.95,1.0,0.0,1.0
0.9,1.0,0.0,1.0
0.85,1.0,0.0,1.0
0.8,1.0,0.0,1.0
0.75,1.0,0.0,1.0
0.7,1.0,0.0,1.0
0.65,1.0,0.0,1.0
0.6,1.0,0.0,1.0
0.55,1.0,0.0,1.0
0.5,1.0,0.0,1.0
0.45,1.0,0.0,1.0
0.4,1.0,0.0,1.0
0.35,1.0,0.0,1.0
0.3,1.0,0.0,1.0
0.25,1.0,0.0,1.0
0.2,1.0,0.0,1.0
0.15,1.0,0.0,1.0
0.1,1.0,0.0,1.0
0.05,1.0,0.0,1.0
1.0,0.05,0.0,1.0
1.0,0.1,0.0,1.0
1.0,0.15,0.0,1.0
1.0,0.2,0.0,1.0
1.0,0.25,0.0,1.0
1.0,0.3,0.0,1.0
1.0,0.35,0.0,1.0
1.0,0.4,0.0,1.0
1.0,0.45,0.0,1.0
1.0,0.5,0.0,1.0
1.0,0.55,0.0,1.0
1.0,0.6,0.0,1.0
1.0,0.65,0.0,1.0
1.0,0.7,0.0,1.0
1.0,0.75,0.0,1.0
1.0,0.8,0.0,1.0
1.0,0.85,0.0,1.0
1.0,0.9,0.0,1.0
1.0,0.95,0.0,1.0
0.0742405709994848,0.0400691120025269,0.0,1.0
0.12080290322965,0.044946960980621,0.0,1.0
0.173565387906761,0.0435576223043226,0.0,1.0
0.225,0.0433012701892219,0.0,1.0
0.275,0.043301270189222,0.0,1.0
0.325,0.043301270189222,0.0,1.0
0.375,0.043301270189222,0.0,1.0
0.425,0.0433012701892219,0.0,1.0
0.475,0.0433012701892219,0.0,1.0
0.525,0.0433012701892219,0.0,1.0
0.575,0.0433012701892218,0.0,1.0
0.625,0.0433012701892219,0.0,1.0
0.675,0.0433012701892219,0.0,1.0
0.725,0.0433012701892218,0.0,1.0
0.775,0.0433012701892219,0.0,1.0
0.826477624006976,0.043662514341595,0.0,1.0
0.879635792079054,0.0456255202728791,0.0,1.0
0.924170144306977,0.0392401696820914,0.0,1.0
0.959887705981926,0.0747277750582963,0.0,1.0
0.954156844845378,0.12147462649625,0.0,1.0
0.955393719014031,0.17403989464284,0.521648408972353,1.0
0.956698729810778,0.225,0.521648408972353,1.0
0.956698729810778,0.275,0.521648408972353,1.0
0.956698729810778,0.325,0.521648408972353,1.0
0.956698729810778,0.375,0.521648408972353,1.0
0.956698729810778,0.425,0.521648408972353,1.0
0.956698729810778,0.475,0.521648408972353,1.0
0.956698729810778,0.525,0.521648408972353,1.0
0.956698729810778,0.575,0.521648408972353,1.0
0.956698729810778,0.625,0.521648408972353,1.0
0.956698729810778,0.675,0.521648408972353,1.0
0.956698729810778,0.725,0.521648408972353,1.0
0.956698729810778,0.775,0.521648408972353,1.0
0.955905199958649,0.828404289633401,0.521648408972353,1.0
0.953981161602507,0.880662359681061,0.521648408972353,1.0
0.959930887997473,0.925759429000515,0.521648408972353,1.0
0.924170144306977,0.960759830317909,0.521648408972353,1.0
0.8771447623775,0.955063551454819,0.521648408972353,1.0
0.825703605292,0.955303565695228,0.521648408972353,1.0
0.775494445325818,0.955245689742383,0.521648408972353,1.0
0.725,0.956698729810778,0.521648408972353,1.0
0.675,0.956698729810778,0.521648408972353,1.0
0.625,0.956698729810778,0.521648408972353,1.0
0.575,0.956698729810778,0.521648408972353,1.0
0.525,0.956698729810778,0.521648408972353,1.0
0.475,0.956698729810778,0.521648408972353,1.0
0.425,0.956698729810778,0.521648408972353,1.0
0.375,0.956698729810778,0.521648408972353,1.0
0.325,0.956698729810778,0.521648408972353,1.0
0.275,0.956698729810778,0.521648408972353,1.0
0.225,0.956698729810778,0.521648408972353,1.0
0.171595710366599,0.955905199958649,0.521648408972353,1.0
0.119337640318939,0.953981161602506,0.521648408972353,1.0
0.0742405709994849,0.959930887997473,0.521648408972353,1.0
0.0392401696820914,0.924170144306977,0.521648408972353,1.0
0.0449364485451814,0.8771447623775,0.521648408972353,1.0
0.0446964343047719,0.825703605292,0.521648408972353,1.0
0.0447543102576164,0.775494445325817,0.521648408972353,1.0
0.043301270189222,0.725,0.521648408972353,1.0
0.043301270189222,0.675,0.521648408972353,1.0
0.0433012701892218,0.625,0.521648408972353,1.0
0.0433012701892218,0.575,0.521648408972353,1.0
0.043301270189222,0.525,0.521648408972353,1.0
0.0433012701892219,0.475,0.521648408972353,1.0
0.043301270189222,0.425,0.521648408972353,1.0
0.043301270189222,0.375,0.521648408972353,1.0
